id,site,nom,version,trad_version,lien_trad,statut,tags,type_moteur,traducteur,relecteur,type_trad,ac,image_url,trad_url,translator_url
18025,F95z,Wife's Day,v0.2 Pre-Alpha,v0.2 Pre-Alpha,Traduction,ABANDONNÉ,"2dcg, adventure, anal sex, bdsm, cheating, corruption, female protagonist, footjob, lesbian, masturbation, oral sex, vaginal sex",RenPy,andric31,,Traduction Automatique,true,https://attachments.f95zone.to/2018/10/168525_168524_160839_oblozhka_1.png,,
117099,F95z,Wild Adventures,v100,v100,Traduction,TERMINÉ,"3dcg, anal sex, animated, big ass, big tits, male protagonist, milf, oral sex, point & click, teasing, vaginal sex, voyeurism",RenPy,LeRebel71,,Traduction Semi-Automatique,true,https://attachments.f95zone.to/2022/05/1834549_hdZ9wU.png,,
215260,F95z,Wild Cats,v0.3 Public,Intégrée,Intégrée,EN COURS,"3dcg, animated, groping, handjob, male protagonist, mobile game, oral sex, pov, romance, teasing, virgin",RenPy,,,Traduction Automatique,true,https://attachments.f95zone.to/2024/07/3832938_cover.png,,
215260,F95z,Wild Cats - Side story,Side story,Side story,Traduction,EN COURS,"3dcg, animated, groping, handjob, male protagonist, mobile game, oral sex, pov, romance, teasing, virgin",RenPy,Jupiterwing,,Traduction Automatique,false,https://attachments.f95zone.to/2024/07/3832938_cover.png,,
3810,F95z,Wild Life,v2025-06-27 Full,Intégrée,Intégrée,EN COURS,"3d game, 3dcg, anal sex, animated, combat, female protagonist, furry, futa/trans, gay, group sex, lesbian, male protagonist, multiple penetration, oral sex, sandbox, sci-fi, tentacles, titfuck, vaginal sex, virtual reality",Unreal,,,Traduction Automatique,false,https://attachments.f95zone.to/2022/02/1698593_Patreon_Banner.png,,
135352,F95z,Wild West,Final,Final,Traduction,TERMINÉ,"3dcg, female protagonist, lesbian, oral sex",RenPy,LeRebel71,,Traduction Humaine,true,https://attachments.f95zone.to/2022/10/2152753_Header.jpg,,
238020,F95z,Willow Blue Remake,Final,Final,Traduction,TERMINÉ,"3dcg, animated, bukkake, cheating, groping, group sex, male protagonist, mobile game, netorare, oral sex, romance, vaginal sex",RenPy,Fx_oO7,,Traduction Automatique,true,https://attachments.f95zone.to/2024/12/4395219_KKEf0k.png,,
251226,F95z,Wilting Hope,v1.0,v1.0,Traduction,TERMINÉ,"3dcg, anal sex, bdsm, corruption, female domination, handjob, male protagonist, multiple endings, oral sex, trap",RenPy,Virusf,,Traduction Automatique,true,https://attachments.f95zone.to/2025/04/4757060_cover.png,,
167187,F95z,Winter Memories,v1.08,v1.08,Traduction,TERMINÉ,"2d game, 2dcg, ahegao, anal sex, animated, big ass, big tits, cheating, creampie, footjob, handjob, harem, japanese game, male protagonist, milf, oral sex, point & click, pregnancy, romance, sandbox, simulator, teasing, titfuck, urination, vaginal sex, virgin, voiced",RPGM,YamiJM,,Traduction Automatique,true,https://attachments.f95zone.to/2024/01/3260615_Banner.jpg,,
101202,F95z,Wishes,v1.0,v1.0,Traduction,EN COURS,"2dcg, anal sex, big ass, big tits, creampie, harem, male protagonist, mobile game, multiple endings, oral sex, vaginal sex, voiced",RenPy,Frelon71,,Traduction Automatique,true,https://attachments.f95zone.to/2021/11/1547379_screenshot0001.png,,
40524,F95z,Witch Halloween,v2020-09-22,Intégrée,Intégrée,TERMINÉ,"2dcg, anal sex, character creation, female protagonist, monster, paranormal, platformer, tentacles, trainer",Autre,,,Traduction Automatique,true,https://attachments.f95zone.to/2019/11/476626_header.jpg,,
5691,F95z,Witch Hunter,v0.26.1,v0.20,Traduction,EN COURS,"2dcg, anal sex, animated, corruption, creampie, fantasy, groping, group sex, handjob, interracial, lesbian, male protagonist, masturbation, milf, mobile game, monster girl, multiple penetration, oral sex, parody, prostitution, sandbox, sex toys, teasing, tentacles, titfuck, turn based combat, vaginal sex, virgin, voyeurism",RenPy,Yoyortx,,À tester,true,https://attachments.f95zone.to/2021/06/1289378_oblverhshapka.jpg,,
1697,F95z,Witch Trainer: Silver Mod,v1.49.2,v1.48,Traduction,EN COURS,"2dcg, ahegao, anal sex, big ass, big tits, corruption, cosplay, dilf, exhibitionism, fantasy, futa/trans, groping, group sex, handjob, harem, humiliation, humor, lactation, lesbian, male protagonist, management, masturbation, mobile game, oral sex, parody, sex toys, spanking, stripping, superpowers, tentacles, titfuck, trainer, vaginal sex, voyeurism",RenPy,dranreb,,Traduction Semi-Automatique,true,https://attachments.f95zone.to/2018/10/178357_banner.png,,
48536,F95z,Witchcraft,v0.9.8p,v0.9.8p,Traduction,ABANDONNÉ,"3dcg, anal sex, animated, big ass, big tits, creampie, exhibitionism, fantasy, female protagonist, group sex, handjob, lesbian, management, multiple penetration, oral sex, pregnancy, sandbox, sex toys, teasing, tentacles, vaginal sex",RenPy,andric31,,Traduction Automatique,true,https://attachments.f95zone.to/2020/03/610021_Annotation_2020-03-24_015643.png,,
156738,F95z,With Eyes Closed,S2 Ch.10,Season 1 Deluxe,Traduction,EN COURS,"3dcg, anal sex, animated, big ass, big tits, creampie, groping, handjob, male protagonist, milf, mobile game, oral sex, teasing, vaginal sex",RenPy,Tomberaid,,Traduction Humaine,true,https://attachments.f95zone.to/2023/04/2578416_1681811390571.png,,
102011,F95z,With Rain Comes the Flood,v1.0,v1.0,Traduction,TERMINÉ,"3dcg, female protagonist, lesbian, masturbation, milf, multiple protagonist, romance, teasing",RenPy,Frelon71,,Traduction Automatique,true,https://attachments.f95zone.to/2022/08/2011317_startpage2-COMPLETED.png,,
